"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6605","TC-PAT-069: Add primary insurance during registration","chromium","2026-04-06","passed","2026-04-06","7. Insurance Management","e2e\patients.spec.js","",""
"","2539","TC-PAT-077: Change subscriber type during registration","chromium","2026-04-06","passed","2026-04-06","7. Insurance Management","e2e\patients.spec.js","",""
"","2285","TC-PAT-002: Create patient with all fields populated","chromium","2026-04-06","passed","2026-04-06","1. Patient Registration (Create)","e2e\patients.spec.js","",""
"","2603","TC-PAT-042: Filter patients by Inactive status","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","2311","TC-PAT-039: Search with special characters","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","2373","TC-PAT-017: Zip code with leading zeros","chromium","2026-04-06","passed","2026-04-06","1. Patient Registration (Create)","e2e\patients.spec.js","",""
"","2608","TC-PAT-034: Search patient by name","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","3057","TC-PAT-044: Sort patients by name ascending","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","2742","TC-PAT-037: Search with no matching results","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","3155","TC-PAT-067: Add maximum emergency contacts","chromium","2026-04-06","passed","2026-04-06","6. Emergency Contacts","e2e\patients.spec.js","",""
"","1484","TC-CPT-033: View CPT codes list - default view","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","11411","TC-CPT-064: Access CPT codes without authentication","chromium","2026-04-06","passed","2026-04-06","7. Security & Authentication","e2e\cpt-codes.spec.js","",""
"","2864","TC-CPT-028: Delete CPT code that is linked to encounters","chromium","2026-04-06","skipped","2026-04-06","3. CPT Code Deletion","e2e\cpt-codes.spec.js","",""
"","3286","TC-CPT-001: Create CPT code with all mandatory fields","chromium","2026-04-06","passed","2026-04-06","1. CPT Code Creation","e2e\cpt-codes.spec.js","",""
"","2446","TC-CPT-006: Submit form with Description filled but Code empty","chromium","2026-04-06","passed","2026-04-06","1. CPT Code Creation","e2e\cpt-codes.spec.js","",""
"","2745","TC-CPT-044: Switch between Settings tabs and back to CPT","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","6217","TC-CPT-032: Delete and verify list count updates","chromium","2026-04-06","passed","2026-04-06","3. CPT Code Deletion","e2e\cpt-codes.spec.js","",""
"","1377","TC-CPT-063: Access CPT codes with valid authentication","chromium","2026-04-06","passed","2026-04-06","7. Security & Authentication","e2e\cpt-codes.spec.js","",""
"","1953","TC-PAT-071: Add secondary and tertiary insurance","chromium","2026-04-06","passed","2026-04-06","7. Insurance Management","e2e\patients.spec.js","",""
"","4041","TC-PAT-068: Edit existing emergency contact","chromium","2026-04-06","passed","2026-04-06","6. Emergency Contacts","e2e\patients.spec.js","",""
"","1939","TC-PAT-U01: Toggle ""Show Mandatory Fields Only""","chromium","2026-04-06","passed","2026-04-06","UI/UX Scenarios","e2e\patients.spec.js","",""
"","11429","TC-PAT-091: Access patient list without authentication","chromium","2026-04-06","passed","2026-04-06","10. Security & Authentication","e2e\patients.spec.js","",""
"","7872","TC-CPT-014: Create CPT code with single character code","chromium","2026-04-06","passed","2026-04-06","1. CPT Code Creation","e2e\cpt-codes.spec.js","",""
"","2103","TC-PAT-G04: Add multiple guarantors","chromium","2026-04-06","passed","2026-04-06","Guarantor Section","e2e\patients.spec.js","",""
"","2558","TC-PAT-003: Create patient with ""No Email"" option","chromium","2026-04-06","passed","2026-04-06","1. Patient Registration (Create)","e2e\patients.spec.js","",""
"","5223","TC-PAT-059: Toggle status and verify list update","chromium","2026-04-06","passed","2026-04-06","5. Patient Status Management","e2e\patients.spec.js","",""
"","1749","TC-PAT-064: Add emergency contact with invalid phone","chromium","2026-04-06","passed","2026-04-06","6. Emergency Contacts","e2e\patients.spec.js","",""
"","2192","TC-PAT-G02: Add separate guarantor","chromium","2026-04-06","passed","2026-04-06","Guarantor Section","e2e\patients.spec.js","",""
"","2044","TC-CPT-039: Search with special characters (ampersand)","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","2548","TC-CPT-036: Search CPT codes by category","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","2085","TC-PAT-076: Insurance date range - end before start","chromium","2026-04-06","passed","2026-04-06","7. Insurance Management","e2e\patients.spec.js","",""
"","3685","TC-CPT-038: Clear search to restore full list","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","2009","TC-PAT-U03: Row actions menu in patient list","chromium","2026-04-06","passed","2026-04-06","UI/UX Scenarios","e2e\patients.spec.js","",""
"","1601","TC-CPT-047: Remove CPT code from encounter","chromium","2026-04-06","skipped","2026-04-06","5. CPT Code - Encounter Integration","e2e\cpt-codes.spec.js","",""
"","1616","TC-PAT-U05: Mandatory field highlighting","chromium","2026-04-06","passed","2026-04-06","UI/UX Scenarios","e2e\patients.spec.js","",""
"","3700","TC-PAT-038: Clear search results","chromium","2026-04-06","passed","2026-04-06","3. Patient List & Search","e2e\patients.spec.js","",""
"","1497","TC-CPT-050: Search CPT with less than 2 characters","chromium","2026-04-06","skipped","2026-04-06","5. CPT Code - Encounter Integration","e2e\cpt-codes.spec.js","",""
"","3379","TC-CPT-016: Edit CPT code - update description","chromium","2026-04-06","skipped","2026-04-06","2. CPT Code Edit (Update)","e2e\cpt-codes.spec.js","",""
"","1803","TC-CPT-073: Save button disabled during save operation","chromium","2026-04-06","passed","2026-04-06","8. Error Handling & UI/UX","e2e\cpt-codes.spec.js","",""
"","4335","TC-PAT-021: HTML injection in address fields","chromium","2026-04-06","passed","2026-04-06","1. Patient Registration (Create)","e2e\patients.spec.js","",""
"","2231","TC-CPT-034: Search CPT codes by code","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
"","5502","TC-CPT-031: Delete the last remaining CPT code","chromium","2026-04-06","passed","2026-04-06","3. CPT Code Deletion","e2e\cpt-codes.spec.js","",""
"","5524","TC-PAT-061: Add single emergency contact during registration","chromium","2026-04-06","passed","2026-04-06","6. Emergency Contacts","e2e\patients.spec.js","",""
"","4975","TC-PAT-026: Edit patient - clear mandatory field","chromium","2026-04-06","passed","2026-04-06","2. Patient Edit (Update)","e2e\patients.spec.js","",""
"","2247","TC-PAT-012: Create patient with date of birth > 150 years ago","chromium","2026-04-06","passed","2026-04-06","1. Patient Registration (Create)","e2e\patients.spec.js","",""
"","2698","TC-CPT-002: Create CPT code with all fields populated","chromium","2026-04-06","passed","2026-04-06","1. CPT Code Creation","e2e\cpt-codes.spec.js","",""
"","2140","TC-CPT-052: Add CPT code to signed encounter (should be read-only)","chromium","2026-04-06","passed","2026-04-06","5. CPT Code - Encounter Integration","e2e\cpt-codes.spec.js","",""
"","2548","TC-CPT-027: Cancel delete - code preserved","chromium","2026-04-06","passed","2026-04-06","3. CPT Code Deletion","e2e\cpt-codes.spec.js","",""
"","4119","TC-CPT-040: Search is case-insensitive","chromium","2026-04-06","passed","2026-04-06","4. CPT Code List & Search","e2e\cpt-codes.spec.js","",""
